# t (s)	mx ()	my ()	mz ()	m_zrange0-20_x ()	m_zrange0-20_y ()	m_zrange0-20_z ()	m_zrange21-31_x ()	m_zrange21-31_y ()	m_zrange21-31_z ()	m_zrange32-52_x ()	m_zrange32-52_y ()	m_zrange32-52_z ()
3.0009999999999403e-10	0.16417617	-0.016264237	-0.020987945	0.11057873	0.015963228	-0.02495001	0.41140142	-0.14842695	-0.009337245	0.110578656	0.01596323	-0.024950014
3.1009999999999193e-10	0.16666661	0.009223453	-0.01462752	0.10496366	0.046433307	-0.017750192	0.44681185	-0.13777128	-0.0050623403	0.104963586	0.04643331	-0.017750192
3.2009999999998983e-10	0.16928758	0.026108155	-0.005611984	0.09806745	0.06845336	-0.007750696	0.48802572	-0.13805106	0.0018204745	0.09806736	0.068453364	-0.0077507
3.300999999999877e-10	0.17151543	0.029561725	0.0016885953	0.093257606	0.07684133	0.00060241605	0.51884985	-0.15364432	0.006371046	0.09325753	0.07684132	0.0006024089
3.400999999999856e-10	0.17414372	0.020336308	0.004845411	0.093186595	0.070487514	0.005122525	0.53280115	-0.17620113	0.004706045	0.09318651	0.07048747	0.0051225205
3.500999999999835e-10	0.17836934	0.001969885	0.0039540166	0.097823665	0.051161606	0.005852902	0.5362261	-0.1944029	-0.00285071	0.09782356	0.05116155	0.005852898
3.600999999999814e-10	0.18530276	-0.019849923	0.0014848755	0.106244996	0.025160098	0.005024163	0.53859454	-0.20385988	-0.01237529	0.106244884	0.025160048	0.0050241584
3.700999999999793e-10	0.19324091	-0.037891913	-0.0020595256	0.11594137	0.0019489467	0.0029594619	0.54108757	-0.2048337	-0.022547359	0.115941264	0.001948907	0.0029594512
3.800999999999772e-10	0.20117776	-0.04711401	-0.0064298618	0.12598398	-0.01279261	-4.492374e-05	0.5421886	-0.19382238	-0.033255547	0.12598386	-0.012792622	-4.4941342e-05
3.900999999999751e-10	0.20943274	-0.047524754	-0.010320916	0.1372746	-0.019720146	-0.0027113664	0.539952	-0.16824813	-0.04282326	0.13727446	-0.019720152	-0.0027113874
4.00099999999973e-10	0.21685937	-0.04168415	-0.013867245	0.1497167	-0.022007266	-0.0054432303	0.5288023	-0.12872848	-0.05033671	0.14971659	-0.022007283	-0.0054432526
4.100999999999709e-10	0.22200797	-0.033501532	-0.017178142	0.16201684	-0.02304076	-0.008778481	0.5063744	-0.082044855	-0.05421238	0.16201672	-0.023040801	-0.008778498
4.200999999999688e-10	0.22569071	-0.025768023	-0.020013958	0.17350754	-0.025002252	-0.012188232	0.47956166	-0.033984616	-0.05531963	0.17350748	-0.025002304	-0.01218824
4.300999999999667e-10	0.22918044	-0.018703897	-0.022370297	0.1845556	-0.027916957	-0.015082893	0.45351595	0.014407662	-0.055993974	0.18455556	-0.027917013	-0.015082886
4.400999999999646e-10	0.23261696	-0.012135943	-0.02432404	0.19500461	-0.032006375	-0.017909389	0.4295898	0.06491868	-0.05484748	0.19500461	-0.032006416	-0.017909374
4.500999999999625e-10	0.23822553	-0.005201381	-0.026041659	0.20704477	-0.03661613	-0.02126655	0.41059357	0.11941743	-0.05035045	0.20704484	-0.03661617	-0.021266539
4.600999999999604e-10	0.24846952	0.0023756507	-0.026313543	0.22371385	-0.040192213	-0.022864712	0.39718583	0.17312232	-0.045371592	0.22371396	-0.040192243	-0.022864703
4.700999999999606e-10	0.26353848	0.008992819	-0.02350113	0.24639718	-0.04257468	-0.019816156	0.384811	0.21706143	-0.042941283	0.24639733	-0.042574707	-0.019816142
4.800999999999636e-10	0.28163534	0.01297379	-0.018091867	0.2735602	-0.044262603	-0.013260675	0.3702627	0.2445142	-0.04103505	0.27356035	-0.044262636	-0.013260655
4.900999999999667e-10	0.2994638	0.014336316	-0.011670461	0.30085889	-0.04541688	-0.005886622	0.35377613	0.25621644	-0.037139963	0.30085897	-0.04541693	-0.0058865948
5.000999999999698e-10	0.31236738	0.013330027	-0.005140418	0.32207	-0.04826114	0.0010664724	0.3360301	0.26236087	-0.030996108	0.32207006	-0.048261233	0.0010664964
5.100999999999728e-10	0.31759232	0.01013599	0.00033097973	0.33393997	-0.05489863	0.0067244484	0.31572032	0.2723019	-0.025176715	0.33393997	-0.05489876	0.0067244573
5.200999999999759e-10	0.31503326	0.006105607	0.003537804	0.33697587	-0.0644841	0.009927811	0.29026955	0.2896858	-0.021314634	0.33697584	-0.06448422	0.009927796
5.30099999999979e-10	0.3070603	0.0013450243	0.0034599367	0.333507	-0.076402396	0.009409265	0.2626859	0.31260392	-0.019645315	0.3335069	-0.0764025	0.009409229
5.40099999999982e-10	0.29760215	-0.004160785	0.0009217748	0.32701787	-0.08974036	0.0061273267	0.23945972	0.33732548	-0.019715983	0.32701784	-0.08974043	0.0061272783
5.500999999999851e-10	0.29028466	-0.0085061425	-0.0019067673	0.32133844	-0.10183449	0.0023584974	0.22412673	0.3631061	-0.019349094	0.32133833	-0.101834536	0.0023584557
5.600999999999882e-10	0.28659838	-0.009840413	-0.0048113805	0.31870568	-0.110840894	-0.0014839902	0.21548896	0.3921935	-0.019083168	0.31870565	-0.11084094	-0.001484012
5.700999999999912e-10	0.2868876	-0.0076976013	-0.008333346	0.32005614	-0.11569196	-0.005785784	0.21159077	0.4227404	-0.020190246	0.3200562	-0.115692005	-0.0057857907
5.800999999999943e-10	0.2906552	-0.002000427	-0.011644046	0.32544428	-0.11488116	-0.009614907	0.20962954	0.4491225	-0.022089422	0.32544437	-0.114881195	-0.009614903
5.900999999999974e-10	0.29593053	0.0074667013	-0.012781545	0.33342972	-0.10759379	-0.010786386	0.20511964	0.46920198	-0.023318546	0.33342987	-0.10759381	-0.010786357
6.000000000000004e-10	0.29968104	0.019540133	-0.011372907	0.3414382	-0.095909454	-0.008761432	0.19258806	0.4852465	-0.024093485	0.3414384	-0.095909454	-0.008761384
