Mon Jul 15 12:14:02 2019

<permalloy> : Rectangle : 0m, 0m, 0m; 640nm, 320nm, 10nm. Cells : 128, 64, 2. Cellsize : 5nm, 5nm, 5nm
<permalloy2> : Rectangle : 0m, 0m, 11nm; 640nm, 320nm, 31nm. Cells : 128, 64, 4. Cellsize : 5nm, 5nm, 5nm
<permalloy0> : Rectangle : 0m, 0m, -21nm; 640nm, 320nm, -1000pm. Cells : 128, 64, 4. Cellsize : 5nm, 5nm, 5nm
<supermesh> : Rectangle : 0m, 0m, -21nm; 640nm, 320nm, 31nm. Cells : 128, 64, 52. Cellsize : 5nm, 5nm, 1000pm

Saved data (dataname (unit) <meshname> (cells_rectangle)) : 

time (s)	<M> (A/m) <permalloy0> (0m, 0m, 0m; 640nm, 320nm, 20nm)			<M> (A/m) <permalloy> (0m, 0m, 0m; 640nm, 320nm, 10nm)			<M> (A/m) <permalloy2> (0m, 0m, 0m; 640nm, 320nm, 20nm)			

4.705e-10	196873	-35249.3	-14562.4	300229	188157	-34129.5	196873	-35249.2	-14562.5
4.805e-10	218373	-37291.2	-8150.7	286133	203300	-32081.7	218373	-37291	-8150.73
4.905e-10	239773	-39411.8	-1685.1	271752	208269	-28278.9	239773	-39411.7	-1685.1
5.005e-10	256308	-42977.5	3874.86	257038	212312	-23386.9	256308	-42977.4	3874.88
5.105e-10	265690	-48877.7	7793.89	239696	221113	-19449.7	265690	-48877.6	7793.93
5.205e-10	268347	-56635.1	9237.02	218563	236177	-17223.5	268347	-56635.1	9237.07
5.305e-10	265647	-66221.6	7946.79	196396	254923	-16335.7	265647	-66221.6	7946.83
5.405e-10	260035	-76710.2	5102.33	177927	274680	-16021.9	260034	-76710.2	5102.36
5.505e-10	254721	-85984.9	2283.74	166415	295930	-15194.7	254721	-85984.9	2283.75
5.605e-10	251702	-92890.6	-400.187	160596	319726	-15035.6	251702	-92890.6	-400.191
5.705e-10	252047	-96493.7	-3425.05	158381	343166	-15867.6	252047	-96493.7	-3425.05
5.805e-10	255653	-95479.6	-6001.01	157272	362416	-16776.3	255653	-95479.6	-6001
5.905e-10	261315	-89320.1	-6628.17	153365	376983	-17190.1	261315	-89320.1	-6628.15
6.005e-10	267452	-80221.2	-5453.44	142955	388927	-17627.4	267451	-80221.2	-5453.44
6.105e-10	273472	-71892.6	-4605.75	123884	399767	-18625.3	273471	-71892.6	-4605.76
6.205e-10	280690	-65846.9	-6019.74	98054	409558	-19244.7	280690	-65846.9	-6019.75
6.305e-10	291189	-62288.9	-9286.96	68377.7	416994	-20652.8	291189	-62288.8	-9286.97
6.405e-10	305291	-60193.7	-11906.9	34130.4	418613	-25050.3	305291	-60193.6	-11906.9
6.505e-10	321102	-57683.9	-12158.5	-5304.18	411330	-30524.5	321102	-57683.8	-12158.6
6.605e-10	336083	-54332.1	-10638.6	-46344.1	394412	-34518.9	336083	-54332.1	-10638.7
6.705e-10	349095	-51221.4	-8816.43	-83191.6	370332	-34851.9	349094	-51221.3	-8816.48
6.805e-10	360104	-48380.3	-8134.63	-111986	345379	-31602.3	360104	-48380.2	-8134.66
6.905e-10	369196	-44653	-9036.22	-134493	325572	-27099.9	369196	-44652.9	-9036.21
7.005e-10	377278	-39242.2	-11212.8	-153375	314786	-22526.1	377278	-39242.2	-11212.8
7.105e-10	384873	-31568	-13620.3	-170415	312424	-19329.1	384872	-31568	-13620.2
7.205e-10	391865	-21800.5	-14452.4	-188109	312589	-18589.1	391864	-21800.6	-14452.3
7.305e-10	397849	-12284.8	-12838.1	-208865	312434	-20566.3	397849	-12285	-12838.1
7.405e-10	403315	-5931.5	-9342.49	-233612	310248	-24155.5	403315	-5931.78	-9342.5
7.505e-10	409368	-3194.81	-5942.3	-261981	304934	-26204.1	409367	-3195.1	-5942.34
7.605e-10	417721	-2513.47	-4253.19	-292241	298306	-26315.1	417720	-2513.77	-4253.23
7.705e-10	428783	-2043.63	-3794.87	-321464	290367	-27399.7	428783	-2043.92	-3794.92
7.805e-10	440699	-1332.46	-3858.35	-347137	278558	-30510.1	440699	-1332.73	-3858.4
7.905e-10	451915	178.201	-4932.59	-369072	261535	-33786.8	451915	177.976	-4932.66
8.005e-10	461857	4098.13	-7628.96	-388545	240439	-34032.6	461857	4097.97	-7629.02
8.105e-10	469772	11944.6	-11864.5	-406411	220115	-30751	469772	11944.5	-11864.5
8.205e-10	474842	23707.4	-15835.6	-423293	204794	-26154.9	474842	23707.4	-15835.7
8.305e-10	476986	36221.3	-17887.7	-439472	194191	-21793.3	476986	36221.3	-17887.8
8.405e-10	476784	46402.3	-17498.4	-453744	186822	-17670.8	476784	46402.5	-17498.5
8.505e-10	474795	53582	-14674.3	-465247	183833	-14673.5	474795	53582.2	-14674.4
8.605e-10	472369	57404.4	-9914.69	-476066	183480	-12665.8	472369	57404.7	-9914.7
8.705e-10	471518	57017.4	-4779.84	-487782	183358	-11364.7	471519	57017.6	-4779.81
8.805e-10	473164	52701.3	-1079.12	-500168	181389	-11933.9	473164	52701.5	-1079.1
8.905e-10	476745	46160.9	324.728	-513552	175392	-14050.6	476745	46161.1	324.715
9.005e-10	480953	39814.9	-836.446	-527417	164898	-16304.5	480953	39815.1	-836.492
9.105e-10	484692	35824.9	-4380.88	-540547	150815	-17488.6	484692	35825	-4380.95
9.205e-10	487404	35729.1	-8948.99	-553145	134817	-17138.1	487404	35729.3	-8949.06
9.305e-10	489255	40007.1	-12474.9	-564593	119744	-16011.9	489255	40007.3	-12474.9
9.405e-10	490714	46774	-13793.2	-573293	106690	-16132.3	490713	46774.2	-13793.2
9.505e-10	491515	53115.3	-13256.3	-577991	92786.6	-18693	491515	53115.5	-13256.2
9.605e-10	490984	57150	-11714.9	-579590	75554.6	-22454.4	490984	57150.2	-11714.9
9.705e-10	489015	58989.6	-10135.3	-581370	55898.1	-25340.1	489015	58989.8	-10135.3
9.805e-10	485955	60713.3	-9277.35	-585265	36788.6	-26318.9	485955	60713.4	-9277.31
9.905e-10	482569	64327.2	-9185.28	-590547	20165.2	-26013.9	482569	64327.2	-9185.21
1.0005e-09	479477	69630.4	-9236.36	-595774	5305.35	-25529.8	479477	69630.3	-9236.28
1.0105e-09	477561	75142.3	-8823.99	-600264	-9082.97	-25513.8	477561	75142.1	-8823.91
1.0205e-09	477784	79150.6	-7655.95	-604335	-24516.8	-26402.2	477784	79150.4	-7655.9
1.0305e-09	480360	79965.7	-6044.43	-609045	-41922.5	-27247.8	480360	79965.4	-6044.42
1.0405e-09	484916	77530.2	-4565.96	-614047	-59904.6	-26184.1	484916	77529.9	-4565.97
1.0505e-09	490327	73865.8	-3722.75	-618224	-74612.1	-22387.9	490327	73865.5	-3722.76
1.0605e-09	494840	71184.7	-4098.39	-621622	-83312.5	-17491	494840	71184.4	-4098.4
1.0705e-09	496635	70999.5	-5486.72	-625503	-85724.3	-13573	496635	70999.2	-5486.72
1.0805e-09	495073	73435.6	-6660.14	-629839	-81886.8	-11279.1	495073	73435.2	-6660.14
1.0905e-09	491041	76636.3	-6518.61	-634676	-72112.1	-10177.9	491041	76636	-6518.59
1.1005e-09	485487	78113.4	-4619.18	-640549	-58046	-10583.1	485487	78113	-4619.18
1.1105e-09	479285	76013.9	-1612.45	-648085	-43248.2	-12445.2	479285	76013.5	-1612.46
1.1205e-09	473626	69781	1080.07	-657905	-31161.5	-15216	473626	69780.6	1080.03
1.1305e-09	469887	60383.6	2246.48	-669746	-23561	-17502.8	469887	60383.2	2246.43
1.1405e-09	469063	50303.9	1404.16	-681616	-19455	-17913.2	469063	50303.5	1404.08
1.1505e-09	471026	42567.4	-1299.49	-692542	-16496.8	-16788.7	471026	42567.1	-1299.58
1.1605e-09	474853	39194.8	-4914.01	-702542	-13810.3	-15718.7	474853	39194.4	-4914.12
1.1705e-09	479395	40645.9	-8133.57	-711183	-12783.8	-16213.4	479395	40645.6	-8133.69
1.1805e-09	484022	45847.5	-9858.86	-716353	-15985.1	-17816.7	484022	45847.3	-9858.96
1.1905e-09	489144	52649.6	-9205.81	-714647	-23793	-19859.3	489144	52649.5	-9205.85
1.2005e-09	494385	58305.7	-6199.91	-707478	-35039.4	-22610.6	494385	58305.6	-6199.85
1.2105e-09	498155	60252.6	-2541.92	-698335	-51339	-25698.9	498155	60252.5	-2541.76
1.2205e-09	499624	57564.9	-251.604	-689017	-73712.3	-27451.2	499624	57564.6	-251.404
1.2305e-09	498808	51602.9	-461.477	-681382	-100466	-27356	498809	51602.3	-461.318
1.2405e-09	496222	45967.4	-2715.2	-675279	-127710	-25965.8	496222	45966.7	-2715.15
1.2505e-09	492847	44165.9	-5518.65	-671339	-152711	-22319.3	492847	44165.1	-5518.74
1.2605e-09	489886	47808.9	-7789.45	-670128	-174330	-17437.6	489886	47808.2	-7789.61
1.2705e-09	488110	56361.6	-8880.32	-670938	-192108	-12431.9	488110	56361	-8880.47
1.2805e-09	486938	67035.4	-8773.19	-673357	-204303	-7523.67	486937	67034.9	-8773.26
1.2905e-09	485443	76483.1	-7835.7	-677547	-209877	-3314.48	485443	76482.7	-7835.67
1.3005e-09	483417	82563.3	-6442.72	-682615	-209911	-870.897	483417	82562.9	-6442.63
1.3105e-09	481023	84828.6	-4965.17	-686759	-206023	136.129	481023	84828.3	-4965.08
1.3205e-09	478981	84640.4	-3562.04	-689303	-198251	1314.89	478981	84640.1	-3561.99
1.3305e-09	477776	84017.4	-2109.59	-691657	-186717	3627.24	477776	84017.1	-2109.59
1.3405e-09	476992	83991.4	-599.772	-694956	-172612	6254.13	476993	83991.1	-599.82
1.3505e-09	476240	83951.6	780.426	-698678	-156955	7707.85	476240	83951.4	780.298
1.3605e-09	476077	82831.6	1813.59	-701701	-141321	7398.65	476077	82831.5	1813.42
1.3705e-09	477073	80695.3	2455.16	-703930	-127044	5977.17	477073	80695.2	2455.03
1.3805e-09	479461	78297.7	3173.75	-705294	-114473	4033.5	479460	78297.6	3173.7
1.3905e-09	482872	75438.3	4245.06	-705223	-104593	2060.71	482872	75438.2	4245.08
1.4005e-09	486079	71154	5318.78	-703855	-98627.9	389.605	486079	71153.9	5318.86
1.4105e-09	487760	65171.8	5898.71	-702385	-96577.8	-1529.86	487759	65171.6	5898.81
1.4205e-09	487603	58014	5877.3	-700796	-98742	-4322.69	487602	58013.8	5877.39
1.4305e-09	486228	50823.8	5140.45	-698751	-105292	-6988.66	486227	50823.6	5140.49
